,类别,基金名称,基金代码,份数/占比,累计收益率,E大平均持有单价,最新净值,现值对比平均单价,最后一次操作时间,最后一次操作类型
A股票 共85份 占比51.72% 累计收益率34.38%,中证红利,富国中证红利指数增强 A,100032,13 份/8.13,53.25,0.6071,0.964,0.587876791,2024/3/7,卖出
,建信 500,建信中证 500 指数增强 A,000478,10 份/5.56,17.21,2.3545,2.6306,0.117264812,2023/2/1,卖出
,富国 300,富国沪深 300 指数增强 A,100038,7 份/4.63,32.24,1.1713,1.549,0.322462221,2019/1/31,买入
,中证 500,华夏中证 500ETF 联接 A,001052,7 份/4.12,22.27,0.6018,0.6972,0.158524427,2024/10/8,卖出
,全指医药,广发医药卫生联接 A,001180,7 份/3.55,18.62,0.8433,0.7882,-0.065338551,2023/6/26,买入
,养老产业,广发养老指数 A,000968,7 份/3.21,10.63,0.9923,0.8966,-0.096442608,2020/9/11,卖出
,华宝医疗 C（波段）,华宝医疗 ETF 联接 C,012323,4 份/2.52,-14.92,0.6845,0.5824,-0.149159971,2024/4/11,买入
,上证 50,华夏上证 50ETF 联接 A,001051,4 份/2.38,54.58,0.7665,0.9574,0.249054142,2022/7/5,卖出
,富国 500,富国中证 500 指数增强 A,161017,3 份/2.32,54.53,1.2742,1.969,0.545283315,2018/10/30,买入
,富国消费 C（波段）,富国消费主题混合 C,011309,3 份/2.31,2.97,2.2771,2.213,-0.02814984,2024/8/28,买入
,富国消费,富国消费主题混合 A,519915,3 份/2.3,2.72,2.2558,2.27,0.006294884,2024/9/18,买入
,大摩健康产业,大摩健康产业混合 A,002708,4 份/2.11,-26.17,2.3649,1.746,-0.261702398,2023/6/12,买入
,华宝医疗 A,华宝医疗 ETF 联接 A,162412,3 份/1.78,-18.97,0.7242,0.5868,-0.189726595,2023/8/22,买入
,沪深 300,华夏沪深 300ETF 联接 A,000051,2 份/1.39,48.64,1.3102,1.4295,0.091054801,2023/1/6,买入
,全指金融,广发中证全指金融地产联接 A,001469,2 份/1.29,22.47,1.1318,1.198,0.058490899,2024/12/10,卖出
,中证传媒,广发中证传媒 ETF 联接 A,004752,2 份/1.11,4.17,0.9971,0.8317,-0.165881055,2023/5/31,卖出
,广发创业板,广发创业板 ETF 联接 A,003765,1 份/0.89,40.58,0.9573,1.1338,0.184372715,2024/1/10,买入
,中证环保,广发中证环保 ETF 联接 A,001064,1 份/0.76,58.43,0.6897,0.6973,0.011019284,2023/12/12,买入
,证券公司,易方达中证全指证券公司指数 (LOF) A,502010,1 份/0.74,52.04,1.0262,1.2546,0.2225687,2024/11/11,卖出
,融通健康产业,融通健康产业灵活配置混合 A,00727,1 份/0.62,14.41,2.9264,2.463,-0.158351558,2023/8/7,买入
,易方达创业板,易方达创业板 ETF 联接 A,110026,已清仓/0,22.64,/,2.1231,/,2020/3/9,卖出
,信息技术,广发信息技术联接 A,000942,已清仓/0,19.4,/,1.1712,/,2024/11/12,卖出
,易方达信息产业,易方达信息产业混合 A,001513,已清仓/0,28.02,/,2.529,/,2023/6/20,卖出
,易方达消费行业,易方达消费行业,110022,已清仓/0,60.59,/,3.568,/,2023/1/6,卖出
,沪深 300C（波段）,华夏沪深 300ETF 联接 C,005658,已清仓/0,16.08,/,1.3982,/,2024/9/30,卖出
,中证 500C 类（波段）,广发中证 500ETF 联接 C,002903,已清仓/0,57.06,/,1.085,/,2024/2/28,卖出
